date,BTC-EUR,BTC-USD,ETH-EUR,BTC-ETH,ETH-BTC,LTC-BTC
2017-11-16,6645.06982421875,7853.68017578125,279.2300109863281,20.6299991607666,0.042059998959302,0.009043999947607
2017-11-17,6560.64013671875,7699.9501953125,283.1000061035156,20.6299991607666,0.043090000748634005,0.008720000274479
2017-11-18,6602.5498046875,7780.91015625,293.260009765625,20.6299991607666,0.044649999588727,0.008942999877035
2017-11-19,6793.2900390625,8042.64013671875,299.3900146484375,20.6299991607666,0.044050000607967,0.008907999843358001
2017-11-20,7001.2900390625,8244.6904296875,308.8699951171875,20.6299991607666,0.04467999935150101,0.008785000070929
2017-11-21,6930.7900390625,8099.97021484375,307.82000732421875,20.6299991607666,0.044530000537633,0.008632999844849
2017-11-22,7010.18017578125,8234.5498046875,322.5,24.229999542236328,0.046310000121593003,0.008720999583601001
2017-11-23,6811.81982421875,8013.41015625,346.4800109863281,21.510000228881836,0.050829999148845006,0.009064000099897001
2017-11-24,6909.830078125,8200.7998046875,394.7300109863281,21.510000228881836,0.057509999722242,0.009464999660849
2017-11-25,7273.52001953125,8754.6904296875,385.29998779296875,21.510000228881836,0.052859999239444004,0.010099999606609001
2017-11-26,7699.6201171875,9318.419921875,387.8299865722656,22.6200008392334,0.05053000152111001,0.009192000143229
2017-11-27,8107.02978515625,9733.2001953125,395.0199890136719,20.610000610351562,0.048760000616312006,0.00932400021702
2017-11-28,8311.490234375,9906.0400390625,389.5299987792969,21.770000457763672,0.046989999711513006,0.009517000056803001
2017-11-29,8438.7900390625,9837.8603515625,363.4100036621094,21.770000457763672,0.043389998376369004,0.008595000021159
2017-11-30,8564.240234375,9946.759765625,375.0299987792969,20.0,0.043719999492168,0.008670999668538001
2017-12-01,9176.169921875,10861.4697265625,388.2699890136719,20.0,0.042440000921487,0.00902699958533
2017-12-02,9250.9599609375,10912.73046875,386.5799865722656,20.0,0.041900001466274005,0.009080000221729001
2017-12-03,9513.849609375,11246.2099609375,386.7200012207031,22.719999313354492,0.04118999838829,0.008953000418841001
2017-12-04,9755.2998046875,11623.91015625,392.1199951171875,23.270000457763672,0.040210001170635,0.008922000415623
2017-12-05,9942.2900390625,11667.1298828125,386.8999938964844,33.27000045776367,0.038880001753568004,0.00857700034976
2017-12-06,11795.5302734375,13749.5703125,361.489990234375,30.0,0.030510000884532002,0.007085000164806001
2017-12-07,15046.26953125,16850.310546875,353.510009765625,20.959999084472656,0.024819999933242003,0.005621000193059
2017-12-08,13503.349609375,16047.6103515625,375.989990234375,32.5,0.027809999883174,0.007577999960631
2017-12-09,12697.7099609375,14843.419921875,392.04998779296875,24.739999771118164,0.031419999897480004,0.010189999826252
2017-12-10,12669.2900390625,15059.599609375,362.69000244140625,34.970001220703125,0.028820000588893002,0.009673000313341
2017-12-11,13863.9599609375,16732.470703125,415.1700134277344,34.93000030517578,0.030799999833106002,0.012649999931454001
2017-12-12,14196.48046875,17083.900390625,528.0399780273438,28.1299991607666,0.037840001285076,0.018050000071525
2017-12-13,13651.1796875,16286.8203125,575.6799926757812,24.1200008392334,0.042720001190900005,0.018279999494552
2017-12-14,13832.48046875,16467.91015625,577.219970703125,22.979999542236328,0.041820000857114,0.016769999638199
2017-12-15,14879.759765625,17604.849609375,570.760009765625,29.299999237060547,0.038660001009702,0.016890000551939
2017-12-16,16376.2998046875,19345.490234375,579.5499877929688,26.530000686645508,0.03558000177145,0.015410000458359002
2017-12-17,15992.8095703125,19065.7109375,593.3400268554688,25.719999313354492,0.037429999560117,0.016589999198913002
2017-12-18,15992.4404296875,18972.3203125,661.3499755859375,24.940000534057617,0.041529998183250004,0.018740000203251003
